start_date_local,elapsed_time,moving_time
2019-11-04 17:56:07.270000,0:11:36.730000,0:11:36.730000
2019-09-05 17:43:34.590000,0:12:07.410000,0:12:07.410000
2019-08-26 09:03:51.550000,0:09:42.450000,0:09:42.450000
2019-07-10 17:52:42.120000,0:11:55.880000,0:11:55.880000
2019-12-03 09:33:23.570000,0:09:55.430000,0:09:55.430000
2019-01-30 17:03:35.780000,0:20:34.220000,0:20:34.220000
2019-02-22 08:59:14.300000,0:14:55.700000,0:14:55.700000
2019-06-05 09:22:51.640000,0:10:51.360000,0:10:51.360000
2019-07-25 08:42:25,0:12:03,0:12:03
2019-07-11 09:18:51.930000,0:10:23.070000,0:10:23.070000
2019-05-20 17:28:08.820000,0:16:38.180000,0:16:38.180000
2019-10-21 17:48:09.150000,0:15:17.850000,0:15:17.850000
2019-02-13 08:56:14.670000,0:11:47.330000,0:11:47.330000
2019-03-15 08:48:18.980000,0:12:23.020000,0:12:23.020000
2019-10-04 17:15:31.350000,0:13:17.650000,0:13:17.650000
2019-12-04 17:26:38.850000,0:11:13.150000,0:11:13.150000
2019-02-01 16:21:19.080000,0:16:52.920000,0:16:52.920000
2019-09-04 09:27:50.610000,0:11:20.390000,0:11:20.390000
2019-02-19 09:10:16.620000,0:12:10.380000,0:12:10.380000
2019-04-09 09:22:51.140000,0:10:14.860000,0:10:14.860000
2019-08-20 18:00:11.920000,0:14:27.080000,0:14:27.080000
2019-11-13 09:41:18.660000,0:11:03.340000,0:11:03.340000
2019-11-06 09:30:25.710000,0:10:42.290000,0:10:42.290000
2019-10-07 17:09:56.160000,0:10:57.840000,0:10:57.840000
2019-02-19 17:31:36.180000,0:13:57.820000,0:13:57.820000
2019-08-01 09:13:26.590000,0:10:06.410000,0:10:06.410000
2019-07-29 09:15:39.120000,0:09:58.880000,0:09:58.880000
2019-07-15 17:50:28.660000,0:13:30.340000,0:13:30.340000
2019-12-02 09:31:39.830000,0:10:21.170000,0:10:21.170000
2019-12-09 09:09:10.690000,0:12:25.310000,0:12:25.310000
2019-11-22 17:16:29.290000,0:24:53.710000,0:24:53.710000
2019-12-03 18:03:45.980000,0:12:34.020000,0:12:34.020000
2019-07-10 09:28:07.720000,0:15:01.280000,0:15:01.280000
2019-07-30 09:26:23.790000,0:12:15.210000,0:12:15.210000
2019-08-02 09:19:23.780000,0:09:31.220000,0:09:31.220000
2020-01-09 19:29:10.010000,0:15:37.990000,0:15:37.990000
2019-04-29 09:18:03.170000,0:10:40.830000,0:10:40.830000
2019-09-10 08:56:44.850000,0:14:29.150000,0:14:29.150000
2019-07-23 17:44:05.920000,0:12:48.080000,0:12:48.080000
2019-04-19 13:39:33.400000,0:12:03.600000,0:12:03.600000
2019-06-07 08:38:18.350000,0:12:42.650000,0:12:42.650000
2019-12-04 09:51:01,0:14:38,0:14:38
